state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5
Delaware,2018.0,5,0.0867630700778643,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,6,0.0877390326209223,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,7,0.0521844660194174,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,8,0.0710607621009268,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,9,0.0800464037122969,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2019.0,1,0.1011363636363636,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2019.0,2,0.0747126436781609,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2019.0,3,0.0874125874125874,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2019.0,4,0.0715197956577266,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Florida,2016.0,1,0.0887140828143778,28.6305,-82.4497,0.0052727272727272,0.005,0.0051363636363636,0.0802,0.001
Florida,2016.0,10,0.0869836321122369,28.6305,-82.4497,0.0802,0.001,1081.081081081081,534.787380952381,734.407
Florida,2016.0,11,0.0854122181136399,28.6305,-82.4497,0.0158,361.73796370967744,850.0,721.0371774193549,2.43875
Florida,2016.0,12,0.0880842454738807,28.6305,-82.4497,0.01975,1304.3478260869565,493.6539423076923,728.251090909091,610.9525166083916
Florida,2016.0,2,0.0870810173488293,28.6305,-82.4497,0.0045,0.005,0.323,0.0158,0.010400000000000001
