Unnamed: 0.1,Unnamed: 0,state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5,Degree Farenheit
191,191,Delaware,2016,9,0.064893617,38.9896,-75.505,0.047666667,0.014,0,0.006,0.00125,60
192,192,Delaware,2017,1,0.101398601,38.9896,-75.505,0.014,0.0032,0.005666667,0.000666667,,39.1
193,193,Delaware,2017,10,0.070083682,38.9896,-75.505,0.000666667,,,,,60.8
194,194,Delaware,2017,11,0.097442144,38.9896,-75.505,,,,,,59.6
195,195,Delaware,2017,12,0.047058824,38.9896,-75.505,,,,,,57.6
196,196,Delaware,2017,2,0.077020202,38.9896,-75.505,0.007,0.006,0.00125,,,41.8
197,197,Delaware,2017,3,0.072687225,38.9896,-75.505,0,0.006,0.00125,,,42.4
198,198,Delaware,2017,4,0.059322034,38.9896,-75.505,0.0032,0.005666667,0.000666667,,,46.7
199,199,Delaware,2017,5,0.085683297,38.9896,-75.505,0.006,0.00125,,,,49.9
200,200,Delaware,2017,6,0.091675448,38.9896,-75.505,0.006,0.00125,,,,53.9
201,201,Delaware,2017,7,0.083604777,38.9896,-75.505,0.005666667,0.000666667,,,,57.4
202,202,Delaware,2017,8,0.073482428,38.9896,-75.505,0.00125,,,,,59.5
203,203,Delaware,2017,9,0.078366446,38.9896,-75.505,0.00125,,,,,60.6
204,204,Delaware,2018,1,0.106807512,38.9896,-75.505,,,,,,32.8
205,205,Delaware,2018,10,0.059751973,38.9896,-75.505,,,29.66666667,,,59.9
206,206,Delaware,2018,11,0.115995116,38.9896,-75.505,,29.66666667,,,,58.6
207,207,Delaware,2018,12,0.07752809,38.9896,-75.505,,29.66666667,,,,57.1
208,208,Delaware,2018,2,0.067258883,38.9896,-75.505,,,,,29.66666667,38
209,209,Delaware,2018,3,0.060606061,38.9896,-75.505,,,,,29.66666667,38.8
210,210,Delaware,2018,4,0.069135802,38.9896,-75.505,,,,,29.66666667,42
211,211,Delaware,2018,5,0.08676307,38.9896,-75.505,,,,29.66666667,,47.3
212,212,Delaware,2018,6,0.087739033,38.9896,-75.505,,,,29.66666667,,51.5
213,213,Delaware,2018,7,0.052184466,38.9896,-75.505,,,,29.66666667,,55.2
214,214,Delaware,2018,8,0.071060762,38.9896,-75.505,,,29.66666667,,,58.1
215,215,Delaware,2018,9,0.080046404,38.9896,-75.505,,,29.66666667,,,59.8
216,216,Delaware,2019,1,0.101136364,38.9896,-75.505,,29.66666667,,,,35.3
217,217,Delaware,2019,10,0.08137045,38.9896,-75.505,,,,,,60.6
218,218,Delaware,2019,11,0.069988138,38.9896,-75.505,,,,,,59
219,219,Delaware,2019,12,0.080906149,38.9896,-75.505,,,,,,57.5
220,220,Delaware,2019,2,0.074712644,38.9896,-75.505,29.66666667,,,,,37
221,221,Delaware,2019,3,0.087412587,38.9896,-75.505,29.66666667,,,,,39.1
222,222,Delaware,2019,4,0.071519796,38.9896,-75.505,29.66666667,,,,,44
223,223,Delaware,2019,5,0.093283582,38.9896,-75.505,,,,,,48.6
224,224,Delaware,2019,6,0.074162679,38.9896,-75.505,,,,,,52.8
225,225,Delaware,2019,7,0.090497738,38.9896,-75.505,,,,,,56.6
226,226,Delaware,2019,8,0.097959184,38.9896,-75.505,,,,,,59.1
227,227,Delaware,2019,9,0.083597884,38.9896,-75.505,,,,,,60.5
